Class,ISBN,Title,Author,Year Pub,Req-Rec,Documents,AVA/AVD/AVE,URL,Link   
 ANTH 112B 1,9.78132E+12,SOCIAL ARCHAEOLOGY OF FOOD,HASTORF,2018,REQ,1,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781316607251,Link
 ANTH 156A 1,9.7803E+12,PLAYING INDIAN,DELORIA,1999,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780300080674,Link
 ANTH 156A 1,9.78052E+12,DEALING IN DESIRE,HOANG,2015,REQ,2,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780520275577,Link
 ANTH 156A 1,9.78052E+12,LAND OF OPEN GRAVES,DE LEON,2015,REQ,2,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780520282759,Link
 ANTH 156A 1,9.78052E+12,THE LAND OF OPEN GRAVES,DE LEON,N/A,REQ,2,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780520958685,Link
 ANTH 158A 1,9.78016E+12,KARTOGRAPHY,SHAMSIE,2002,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780156029735,Link
 ANTH 158A 1,9.78037E+12,PICKING UP,NAGLE,2014,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780374534271,Link
 ANTH 164A 1,9.78052E+12,GOD'S LABORATORY,ROBERTS,2012,REQ,1,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780520270831,Link
 ANTH 164A 1,9.78052E+12,OUR BODIES BELONG TO GOD,HAMDY,2012,REQ,1,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780520271760,Link
 ANTH 164A 1,9.78052E+12,SPIRIT AMBULANCE,STONINGTON,2020,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780520343900,Link
 ANTH 165B 1,9.78023E+12,SUBJECT TO DEATH,DESJARLAIS,2016,REQ,1,AVA,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780226355870,Link
 ANTH 165B 1,9.78029E+12,CONSUMING GRIEF,CONKLIN,2001,REQ,1,AVA,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780292712362,Link
 ANTH 165B 1,9.78052E+12,LAND OF OPEN GRAVES,DE LEON,2015,REQ,2,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780520282759,Link
 ANTH 165B 1,9.78052E+12,THE LAND OF OPEN GRAVES,DE LEON,N/A,REQ,2,AVE,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780520958685,Link
 AAAS/WGS 136A 1,9.78082E+12,SPILL,GUMBS,2016,REQ,1,AVA,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780822362722,Link
 ANTH 1A 1,9.78029E+12,CONSUMING GRIEF,CONKLIN,2001,REQ,1,AVA,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780292712362,Link
 ANTH 1A 1,9.7808E+12,WATERLILY (NEW EDITION),DELORIA,2009,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780803219045,Link
 ANTH 1A 1,9.78132E+12,CULTURAL ANTHROPOLOGY A READER FOR A GLOBAL AGE,GUEST,2017,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781324000778,Link
 ANTH 61B 1,9.78111E+12,LANGUAGE IN THE TRUMP ERA,MENDOZA-DENTON,2020,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781108745031,Link
 ARBC 20B 1,9.7803E+12,AHLAN WA SAHLAN (W/OL MEDIA),ALOSH,2009,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780300219890,Link
 ARBC 20B 1,9.7803E+12,INTRO TO SPOKEN STANDARD ARABIC - A CONVERSATONAL COURSE PART 1 WITH ONLINE MEDIA PAPERBACK,ABED,N/A,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780300222654,Link
 ARBC 40B 1,9.78088E+12,ARABIC-ENGLISH DICTIONARY,WEHR,1994,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780879500030,Link
 ARBC 40B 1,9.78159E+12,AL-KITAAB FII TA ALLUM AL-ARABIYYA (W/3 DVDS) (PT2),BRUSTAD,2006,REQ,1,AVA,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781589010963,Link
 BIOL 100B 1,9.78082E+12,MOLECULAR BIOLOGY OF THE CELL,ALBERTS,2014,CHC,1,AVA,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780815344322,Link
 BIOL 100B 1,9.78082E+12,ESSEN CELL BIOLOGY,ALBERTS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9780815345732,Link
 BIOL 100B 1,9.78132E+12,MOLECULAR BIOLOGY OF THE CELL (SIXTH EDITION),ALBERTS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781317563754,Link
 BIOL 14A 1,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319284367,Link
 BIOL 14A 1,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,2019,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319376826,Link
 BIOL 14A 1,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319392833,Link
 BIOL 14A 2,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319284367,Link
 BIOL 14A 2,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,2019,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319376826,Link
 BIOL 14A 2,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319392833,Link
 BIOL 14A 3,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319284367,Link
 BIOL 14A 3,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,2019,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319376826,Link
 AAAS/WGS 136A 1,9.7814E+12,SULA,MORRISON,2004,REQ,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781400033430,Link
 BIOL 14A 3,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319392833,Link
 BIOL 14A 4,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319284367,Link
 BIOL 14A 4,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,2019,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319376826,Link
 BIOL 14A 4,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319392833,Link
 BIOL 15B 1,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319284367,Link
