Documents,ISBN,Title,Author,Year Pub,Req-Rec   
0,9780679744719,ANOTHER COUNTRY,BALDWIN,1962,REQ,
0,9780262042840,INTRO TO NATURAL LANGUAGE PROCESSING,EISENSTEIN,2019,REQ,
1,9781259290619,MANAGERIAL ECONOMICS ETC (W/OUT ACCESS CODE),BAYE,2016,REQ,
0,9781259357480,INVESTMENTS,BODIE,N/A,CHC,
0,9780133839395,MACROECONOMICS (SUBSCRIPTION),BLANCHARD,N/A,REQ,
0,9781259676512,DISCRETE MATHEMATICS (RRMCG),ROSEN,N/A,CHC,
0,9781259354311,MANAGERIAL ECONOMICS & BUSINESS STRATEGY,BAYE,N/A,REQ,
0,9781400033416,BELOVED (WITH NEW FOREWORD),MORRISON,2004,REQ,
0,9780300214468,AHLAN WA SAHLAN LETTERS & SOUNDS OF ARABIC LANGUAGE (WBK),ALOSHA,2000,REQ,
0,9780300219890,AHLAN WA SAHLAN (W/OL MEDIA),ALOSH,2009,REQ,
0,9781259715204,INVESTMENTS (LOOSE PGS),BODIE,2018,CHC,
0,9780809071944,MYTHOLOGIES,BARTHES,2013,REQ,
0,9780300219890,AHLAN WA SAHLAN (W/OL MEDIA),ALOSH,2009,REQ,
0,9780134113593,CHEMISTRY: MOLECULAR APPROACH (LOOSE PGS)(W/OUT ACCESS),TRO,2017,CHC,
0,9781118879368,DATA MINING FOR BUSINESS ANALYTICS,SHMUELI,2018,REQ,
0,9781617038235,DECADE OF DARK HUMOR,GREENE,2011,REQ,
0,9781613822616,INCIDENTS IN THE LIFE OF A SLAVE GIRL,JACOB,2012,REQ,
0,9781260484052,INTERNATIONAL ECONOMICS,PUGEL,N/A,REQ,
0,9781259731709,DISCRETE MATHEMATICS AND ITS APPLICATIONS,ROSEN,N/A,CHC,
2,9780895941220,ZAMI, NEW SPELLING OF MY NAME,LORDE,1982,REQ,
2,9780691178325,MUSHROOM AT THE END OF THE WORLD,TSING,2015,REQ,
2,9780226431642,REVEL WITH A CAUSE,KERCHER,2006,REQ,
3,9780231132398,NOT OURS ALONE,FERRY,2005,REQ,
1,9780195073409,MICROECONOMIC THEORY,MAS-COLELL,1995,REQ,
0,9781259354311,MANAGERIAL ECONOMICS & BUSINESS STRATEGY,BAYE,N/A,REQ,
